"Item_Title","Component_Title","Config_Title","Enrollment_Status","Program_Type","Program_Modality","Additional_COA_Components","COA_Component_Cost_Type","COA_Item_Applicability","Cost_Value","Aid_Year"
"Personal Miscellaneous","BUDGET","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_ASSOCIATE_2017-2018_FULL_TIME","FULL_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","350","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_ASSOCIATE_2017-2018_HALF_TIME","HALF_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_ASSOCIATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Room and Board","BUDGET","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Transportation Costs","BUDGET","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Books","STANDARD","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Resource Fee","STANDARD","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","STANDARD","FIXED","0","2017-2018"
"Tuition","STANDARD","GROUND_ASSOCIATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_ASSOCIATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","BUDGET","FIXED","3600","2017-2018"
