"Document_Code","Aid_Year","Attribute_Code","Attribute_Name","Display_Order","Data_Type","Enum_Mapping","Additional_Resolution_Action","Is_Required","Subtype","Field_Start_Date","Field_End_Date","Prev_Document_Code","Prev_Attribute_Code"
"DriversLicense","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"DriversLicense","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"DriversLicense","","AC1003","Date of Birth","3","DATE","","return true;","true","","","","",""
"DriversLicense","","AC1004","Gender","4","ENUMERATION","Male,Female,X","return true;","true","","","","",""
"DriversLicense","","AC1005","Expiration Date","5","DATE","","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1005.groovy","true","","","","",""
"DriversLicense","","AC1066","Issuing Agency","6","ENUMERATION","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. government,District of Columbia,The Commonwealth of Puerto Rico,American Samoa,Guam,The Virgin Islands,The Commonwealth of the Northern Mariana Islands,The Republic of the Marshall Islands,The Federated States of Micronesia,The Republic of Palau,Federally Recognized American Indianor Alaska Native Tribe,Other","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1066.groovy","true","","","","",""
"DriversLicense","","AC1070","ID number","7","STRING","","return true;","true","","","","",""
"GEDCert","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"GEDCert","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"GEDCert","","AC1069","City","3","STRING","","return true;","true","","","","",""
"GEDCert","","AC1067","State","4","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"GEDCert","","AC1006","Graduation Date","5","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"GEDTranscript","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"GEDTranscript","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"GEDTranscript","","AC1069","City","3","STRING","","return true;","true","","","","",""
"GEDTranscript","","AC1067","State","4","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"GEDTranscript","","AC1006","Graduation Date","5","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"HomeSchoolCert","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"HomeSchoolCert","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"HomeSchoolCert","","AC1069","City","3","STRING","","return true;","true","","","","",""
"HomeSchoolCert","","AC1067","State","4","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"HomeSchoolCert","","AC1006","Graduation Date","5","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"HSDiploma","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"HSDiploma","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"HSDiploma","","AC1068","School Name","3","STRING","","return true;","true","","","","",""
"HSDiploma","","AC1069","City","4","STRING","","return true;","true","","","","",""
"HSDiploma","","AC1067","State","5","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"HSDiploma","","AC1006","Graduation Date","6","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
