"Associated_ISIR_Field","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Resolution_Required"
"ASSUMEDCITIZENSHIP","2014-2015","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2014-2015","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2014-2015","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSHUD","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2014-2015","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDPARENT1SSN","2014-2015","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDPARENT2SSN","2014-2015","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2014-2015","return true;","","","false"
"ASSUMEDPARENTSAGI","2014-2015","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2014-2015","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2014-2015","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2014-2015","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2014-2015","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2014-2015","return true;","","","false"
"ASSUMEDCITIZENSHIP","2015-2016","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2015-2016","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2015-2016","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSHUD","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2015-2016","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2015-2016","return true;","","","false"
"ASSUMEDPARENT1SSN","2015-2016","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2015-2016","return true;","","","false"
