"Code_Number","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Future_Auto_Clear"
"001","2014-2015","return true;","","",""
"002","2014-2015","return true;","","",""
"003","2014-2015","return true;","","",""
"004","2014-2015","return true;","","",""
"005","2014-2015","return true;","","",""
"006","2014-2015","return true;","","",""
"007","2014-2015","return true;","","",""
"008","2014-2015","return true;","","",""
"009","2014-2015","return true;","","",""
"010","2014-2015","return true;","","",""
"011","2014-2015","return true;","","",""
"012","2014-2015","return true;","","",""
"013","2014-2015","return true;","","",""
"014","2014-2015","return true;","","",""
"015","2014-2015","return true;","","",""
"016","2014-2015","return true;","","",""
"017","2014-2015","return true;","","",""
"018","2014-2015","return true;","","",""
"019","2014-2015","return true;","","",""
"020","2014-2015","return true;","","",""
"021","2014-2015","return true;","","",""
"022","2014-2015","return true;","","",""
"023","2014-2015","return true;","","",""
"024","2014-2015","return true;","","",""
"025","2014-2015","return true;","","",""
"026","2014-2015","return true;","","",""
"027","2014-2015","return true;","","",""
"028","2014-2015","return true;","","",""
"029","2014-2015","return true;","","",""
"030","2014-2015","return true;","","",""
"031","2014-2015","return true;","","",""
"032","2014-2015","return true;","","",""
"033","2014-2015","return true;","","",""
"034","2014-2015","return true;","","",""
"035","2014-2015","return true;","","",""
"036","2014-2015","return true;","","",""
"037","2014-2015","return true;","","",""
"038","2014-2015","return true;","","",""
"039","2014-2015","return true;","","",""
"040","2014-2015","return true;","","",""
"041","2014-2015","return true;","","",""
"042","2014-2015","return true;","","",""
"043","2014-2015","return true;","","",""
"044","2014-2015","return true;","","",""
"045","2014-2015","return true;","","",""
"046","2014-2015","return true;","","",""
"047","2014-2015","return true;","","",""
"048","2014-2015","return true;","","",""
"049","2014-2015","return true;","","",""
"050","2014-2015","return true;","","",""
"051","2014-2015","return true;","","",""
"052","2014-2015","return true;","","",""
"053","2014-2015","return true;","","",""
"054","2014-2015","return true;","","",""
"055","2014-2015","return true;","","",""
"056","2014-2015","return true;","","",""
"057","2014-2015","return true;","","",""
"058","2014-2015","return true;","","",""
"059","2014-2015","return true;","","",""
"060","2014-2015","return true;","","",""
"061","2014-2015","return true;","","",""
"062","2014-2015","return true;","","",""
"063","2014-2015","return true;","","",""
"064","2014-2015","return true;","","",""
"065","2014-2015","return true;","","",""
"066","2014-2015","return true;","","",""
"067","2014-2015","return true;","","",""
"068","2014-2015","return true;","","",""
"069","2014-2015","return true;","","",""
"070","2014-2015","return true;","","",""
