"Code_Number","Aid_Year","ISIR_Field_Name"
"010","2014-2015","NSLDSDATABASERESULTSFLAG"
"010","2014-2015","NSLDSSEOGOVERPAYFLAG"
"020","2014-2015","NSLDSDATABASERESULTSFLAG"
"020","2014-2015","NSLDSPELLOVERPAYFLAG"
"023","2014-2015","PARENT1INCOMEEARNEDFROMWORK"
"023","2014-2015","PARENT2INCOMEEARNEDFROMWORK"
"023","2014-2015","SPOUSESINCOMEEARNEDFROMWORK"
"023","2014-2015","STUDENTSINCOMEEARNEDFROMWORK"
"030","2014-2015","SELECTIVESERVICEMATCHFLAG"
"033","2014-2015","SELECTIVESERVICEMATCHFLAG"
"033","2014-2015","SELECTIVESERVICEREGISTRATIONFLAG"
"038","2014-2015","NSLDSDATABASERESULTSFLAG"
"038","2014-2015","NSLDSPELLOVERPAYFLAG"
"039","2014-2015","NSLDSDATABASERESULTSFLAG"
"039","2014-2015","NSLDSPELLOVERPAYFLAG"
"041","2014-2015","NSLDSDATABASERESULTSFLAG"
"041","2014-2015","NSLDSPELLOVERPAYFLAG"
"042","2014-2015","NSLDSDATABASERESULTSFLAG"
"042","2014-2015","NSLDSPELLOVERPAYFLAG"
"043","2014-2015","NSLDSDATABASERESULTSFLAG"
"043","2014-2015","NSLDSPELLOVERPAYFLAG"
"046","2014-2015","ALIENREGISTRATIONNUMBER"
"046","2014-2015","CITIZENSHIPSTATUS"
"046","2014-2015","SECONDARYDHSMATCHFLAG"
"053","2014-2015","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"054","2014-2015","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"055","2014-2015","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"056","2014-2015","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"057","2014-2015","SELECTIVESERVICEREGISTRATIONFLAG"
"058","2014-2015","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"063","2014-2015","DATEOFBIRTH"
"063","2014-2015","SSNMATCHFLAG"
"064","2014-2015","SSNMATCHFLAG"
"064","2014-2015","STUDENTFIRSTNAME"
"064","2014-2015","STUDENTLASTNAME"
"065","2014-2015","NSLDSDATABASERESULTSFLAG"
"065","2014-2015","NSLDSFRAUDLOANFLAG"
"065","2014-2015","NSLDSSEOGOVERPAYFLAG"
"066","2014-2015","NSLDSDATABASERESULTSFLAG"
"066","2014-2015","NSLDSFRAUDLOANFLAG"
"066","2014-2015","NSLDSSEOGOVERPAYFLAG"
"067","2014-2015","NSLDSDATABASERESULTSFLAG"
"067","2014-2015","NSLDSFRAUDLOANFLAG"
"067","2014-2015","NSLDSSEOGOVERPAYFLAG"
"077","2014-2015","NSLDSDATABASERESULTSFLAG"
"077","2014-2015","NSLDSMATCHFLAG"
"079","2014-2015","NSLDSDATABASERESULTSFLAG"
"079","2014-2015","NSLDSMATCHFLAG"
"086","2014-2015","NSLDSDATABASERESULTSFLAG"
"086","2014-2015","NSLDSPERKINSOVERPAYFLAG"
"090","2014-2015","NSLDSDATABASERESULTSFLAG"
"090","2014-2015","NSLDSPERKINSOVERPAYFLAG"
"100","2014-2015","NSLDSDATABASERESULTSFLAG"
"100","2014-2015","NSLDSPERKINSOVERPAYFLAG"
"101","2014-2015","NSLDSDATABASERESULTSFLAG"
"101","2014-2015","NSLDSPERKINSOVERPAYFLAG"
"102","2014-2015","NSLDSDATABASERESULTSFLAG"
"102","2014-2015","NSLDSPERKINSOVERPAYFLAG"
"105","2014-2015","ALIENREGISTRATIONNUMBER"
"105","2014-2015","CITIZENSHIPSTATUS"
"105","2014-2015","SECONDARYDHSMATCHFLAG"
"109","2014-2015","ALIENREGISTRATIONNUMBER"
"109","2014-2015","CITIZENSHIPSTATUS"
"109","2014-2015","SECONDARYDHSMATCHFLAG"
"115","2014-2015","NSLDSDATABASERESULTSFLAG"
"115","2014-2015","NSLDSDISCHARGEDLOANFLAG"
"116","2014-2015","NSLDSACTIVEBANKRUPTCYFLAG"
"116","2014-2015","NSLDSDATABASERESULTSFLAG"
"132","2014-2015","NSLDSDATABASERESULTSFLAG"
"132","2014-2015","NSLDSDEFAULTEDLOANFLAG"
"132","2014-2015","NSLDSMATCHFLAG"
"133","2014-2015","NSLDSDATABASERESULTSFLAG"
"133","2014-2015","NSLDSFRAUDLOANCHANGEFLAG"
"133","2014-2015","NSLDSMATCHFLAG"
"133","2014-2015","NSLDSOVERPAYSCHANGEFLAG"
"134","2014-2015","NSLDSDEFAULTEDLOANCHANGEFLAG"
"134","2014-2015","NSLDSOVERPAYSCHANGEFLAG"
"138","2014-2015","NSLDSDATABASERESULTSFLAG"
"138","2014-2015","NSLDSMATCHFLAG"
"141","2014-2015","ALIENREGISTRATIONNUMBER"
"141","2014-2015","CITIZENSHIPSTATUS"
"141","2014-2015","DHSMATCHFLAG"
"142","2014-2015","ALIENREGISTRATIONNUMBER"
"142","2014-2015","CITIZENSHIPSTATUS"
"142","2014-2015","DHSMATCHFLAG"
"144","2014-2015","ALIENREGISTRATIONNUMBER"
"144","2014-2015","CITIZENSHIPSTATUS"
"144","2014-2015","DHSMATCHFLAG"
"146","2014-2015","SSACITIZENSHIPFLAG"
"162","2014-2015","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"162","2014-2015","VAMATCHFLAG"
"162","2014-2015","VETERANOFUSARMEDFORCES"
"173","2014-2015","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"173","2014-2015","VAMATCHFLAG"
"173","2014-2015","VETERANOFUSARMEDFORCES"
"180","2014-2015","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"180","2014-2015","VAMATCHFLAG"
"180","2014-2015","VETERANOFUSARMEDFORCES"
"240","2014-2015","NSLDSACGOVERPAYFLAG"
"240","2014-2015","NSLDSDATABASERESULTSFLAG"
"240","2014-2015","NSLDSMATCHFLAG"
"241","2014-2015","NSLDSACGOVERPAYFLAG"
"241","2014-2015","NSLDSDATABASERESULTSFLAG"
"241","2014-2015","NSLDSMATCHFLAG"
"242","2014-2015","NSLDSACGOVERPAYFLAG"
"242","2014-2015","NSLDSDATABASERESULTSFLAG"
"242","2014-2015","NSLDSMATCHFLAG"
"243","2014-2015","NSLDSACGOVERPAYFLAG"
"243","2014-2015","NSLDSDATABASERESULTSFLAG"
"243","2014-2015","NSLDSMATCHFLAG"
"244","2014-2015","NSLDSACGOVERPAYFLAG"
"244","2014-2015","NSLDSDATABASERESULTSFLAG"
"244","2014-2015","NSLDSMATCHFLAG"
"246","2014-2015","NSLDSACGOVERPAYFLAG"
"246","2014-2015","NSLDSDATABASERESULTSFLAG"
