"Code_Number","C_Code_Number_for_Rejects","Aid_Year"
"1","150","2017-2018"
"1","151","2017-2018"
"1","295","2017-2018"
"1","299","2017-2018"
"1","300","2017-2018"
"2","129","2017-2018"
"2","130","2017-2018"
"2","295","2017-2018"
"2","299","2017-2018"
"2","300","2017-2018"
"3","114","2017-2018"
"3","152","2017-2018"
"4","062","2017-2018"
"5","018","2017-2018"
"5","059","2017-2018"
"6","011","2017-2018"
"6","369","2017-2018"
"7","012","2017-2018"
"7","370","2017-2018"
"8","076","2017-2018"
"8","140","2017-2018"
"8","145","2017-2018"
"9","049","2017-2018"
"9","295","2017-2018"
"9","299","2017-2018"
"9","300","2017-2018"
"9","387","2017-2018"
"10","168","2017-2018"
"10","169","2017-2018"
"10","295","2017-2018"
"10","299","2017-2018"
"10","300","2017-2018"
"11","089","2017-2018"
"11","099","2017-2018"
"12","111","2017-2018"
"13","059","2017-2018"
"13","082","2017-2018"
"14","059","2017-2018"
"14","160","2017-2018"
"15","108","2017-2018"
"15","295","2017-2018"
"15","299","2017-2018"
"15","300","2017-2018"
"16","059","2017-2018"
"16","110","2017-2018"
"16","285","2017-2018"
"17","068","2017-2018"
"18","024","2017-2018"
"19","009","2017-2018"
"20","126","2017-2018"
"20","131","2017-2018"
"21","119","2017-2018"
"23","281","2017-2018"
"24","272","2017-2018"
"A","069","2017-2018"
"B","072","2017-2018"
"C","154","2017-2018"
"C","155","2017-2018"
"D","061","2017-2018"
"E","040","2017-2018"
"E","377","2017-2018"
"F","051","2017-2018"
"F","379","2017-2018"
"G","153","2017-2018"
"J","083","2017-2018"
"J","164","2017-2018"
"J","388","2017-2018"
"J","391","2017-2018"
"K","084","2017-2018"
"K","164","2017-2018"
"K","389","2017-2018"
"K","391","2017-2018"
"N","059","2017-2018"
"N","080","2017-2018"
"R","060","2017-2018"
"S","016","2017-2018"
"S","373","2017-2018"
"T","017","2017-2018"
"T","375","2017-2018"
"W","178","2017-2018"
"W","179","2017-2018"
"1","150","2018-2019"
"1","151","2018-2019"
"1","295","2018-2019"
"1","299","2018-2019"
"1","300","2018-2019"
"2","129","2018-2019"
"2","130","2018-2019"
"2","295","2018-2019"
"2","299","2018-2019"
"2","300","2018-2019"
"3","114","2018-2019"
"3","152","2018-2019"
"4","062","2018-2019"
"5","018","2018-2019"
"5","059","2018-2019"
"6","011","2018-2019"
"6","369","2018-2019"
"7","012","2018-2019"
"7","370","2018-2019"
"8","076","2018-2019"
"8","140","2018-2019"
"8","145","2018-2019"
"9","049","2018-2019"
"9","295","2018-2019"
"9","299","2018-2019"
