"Code_Number","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Verification_Tracking_Group","Verification_Status_Code","Effective_Date"
"170","2017-2018","return false;","","","AGGREGATE","",""
"170","2017-2018","return false;","","","CHILD_SUPPORT","",""
"170","2017-2018","return false;","","","CUSTOM","",""
"170","2017-2018","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2017-2018","return false;","","","STANDARD","",""
"171","2017-2018","isir/verification/2018/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2018/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2017-2018","return false;","","","CHILD_SUPPORT","",""
"171","2017-2018","return false;","","","CUSTOM","",""
"171","2017-2018","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2017-2018","isir/verification/2018/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2018/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2018-2019","isir/verification/2019/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2019/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2018-2019","return false;","","","CHILD_SUPPORT","",""
"170","2018-2019","isir/verification/2019/171/CUSTOM/AutoCodeClearing.groovy","isir/verification/2019/171/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2018-2019","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2018-2019","isir/verification/2019/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2019/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2018-2019","isir/verification/2019/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2019/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2018-2019","return false;","","","CHILD_SUPPORT","",""
"171","2018-2019","isir/verification/2019/171/CUSTOM/AutoCodeClearing.groovy","isir/verification/2019/171/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2018-2019","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2018-2019","isir/verification/2019/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2019/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2019-2020","isir/verification/2020/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2020/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2019-2020","return false;","","","CHILD_SUPPORT","",""
"170","2019-2020","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2019-2020","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2019-2020","isir/verification/2020/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2020/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2019-2020","isir/verification/2020/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2020/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2019-2020","return false;","","","CHILD_SUPPORT","",""
"171","2019-2020","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2019-2020","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2019-2020","isir/verification/2020/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2020/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2020-2021","isir/verification/2021/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2021/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2020-2021","return false;","","","CHILD_SUPPORT","",""
"170","2020-2021","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2020-2021","return false;","","","HOUSEHOLD_RESOURCES","",""
