"MAPPING_ACTIVE","MESSAGE_CLASS","REPORT_NAME","DEFN_ACTIVE","CUSTOMER_LETTER_CODE","LETTER_CODE","LETTER_DESC","LETTER_DELAY","LETTER_CODE_CRITERIA"
"true","FasDisbursementAcceptanceInformationV2Event","FasDisbursementAcceptanceInformationReport","true","325","325","Late Disbursement Notification","1","letter/DisbursementAcceptance.groovy"
"true","FasDisbursementAcceptanceInformationV2Event","FasDisbursementAcceptanceInformationReport","true","725","725","Post Withdrawal Notification","1","letter/DisbursementAcceptance.groovy"
"true","FasDisbursementCancelEvent","FasDisbursementCancelReport","true","520","520","Cancellation FA Notification","1","letter/CancellationFANotification.groovy"
"true","FasDisbursementInformationEvent","FasDisbursementInformationReport","true","310","310","Right to Cancel","1","letter/RightToCancel.groovy"
"true","FasFinancialPlanOutboundV2Event","FasFinancialPlanOutboundReport","true","PO1","PO1","Provisional Aid Offer","1","letter/ProvisionalAidOffer.groovy"
"true","FasSapAcademicInformationEvent","FasSapAcademicInformationReport","true","610","610","SAP RG Notification Letter","1","letter/SAPInformation.groovy"
"true","FasSapAcademicInformationEvent","FasSapAcademicInformationReport","true","620","620","SAP FA Warning Letter","1","letter/SAPInformation.groovy"
"true","FasSapAcademicInformationEvent","FasSapAcademicInformationReport","true","625","625","SAP FA Disqualification Letter","1","letter/SAPInformation.groovy"
"true","FasStudentAwardInformationV2Event","FasStudentAwardInformationReport","true","FN1","FN1","Award Letter","1","letter/AwardLetter.groovy"
"true","FasStudentNotificationEvent","FasStudentNotificationReport","true","200","200","Exit Interview","1","letter/ExitInterview.groovy"
"true","FasValidIsirProcessStatusInformationEvent","FasValidIsirProcessStatusInformationReport","true","110","110","Verification Letter","1","letter/VerificationLetter.groovy"
"true","FasValidIsirProcessStatusInformationEvent","FasValidIsirProcessStatusInformationReport","true","VL1","VL1","Verification Letter","1","letter/VerificationLetter.groovy"
