"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00000005~00306400","AL","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AL","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NE","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NE","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AK","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AK","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NV","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NV","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AB","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AB","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NB","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NB","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AS","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AS","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NH","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NH","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AZ","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AZ","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NJ","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NJ","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AR","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","AR","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NM","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NM","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","BC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","BC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NY","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NY","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CA","GROUND","Tuition,STRF,Taxes,Misc,Resource"
"00000005~00306400","CA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NF","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NF","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CN","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CN","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NL","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NL","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CO","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CO","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","CT","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ND","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ND","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","DE","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","DE","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MP","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","MP","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","DC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","DC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NT","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NT","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FM","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FM","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NS","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NS","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FL","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FL","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NU","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","NU","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FC","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","FC","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OH","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OH","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","GA","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","GA","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OK","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OK","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","GU","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","GU","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ON","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ON","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","HI","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","HI","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OR","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","OR","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ID","GROUND","Tuition,Taxes,Misc,Resource"
"00000005~00306400","ID","ONLINE","Tuition,Taxes,Misc,Resource"
"00000005~00306400","PA","GROUND","Tuition,Taxes,Misc,Resource"
